time,iteration,accuracy/result/06-30-06-32-ROG-4-outdoors
0.01,0,52.88
60.09,5,52.89
120.09,8,53.19
180.17,14,52.77
240.07,20,54.4
300.04,22,54.45
360.08,29,55.11
420.08,36,55.71
480.51,42,55.84
540.08,49,55.71
600.08,57,56.09
660.08,64,56.71
720.09,72,57.47
780.06,80,57.7
840.08,87,58.46
900.08,96,58.96
960.03,104,59.32
1020.04,112,59.94
1080.03,120,60.28
1140.08,128,60.91
1260.08,140,61.09
1440.19,156,61.46
1620.12,175,61.94
1800.15,187,62.34
1980.14,203,62.83
2160.15,224,63.33
2340.14,249,63.91
2520.03,315,64.11
2700.08,327,64.52
2880.25,343,65.07
3060.2,368,65.54
3241.18,398,65.94
3420.09,422,66.18
3600.16,435,66.68
3780.07,447,66.82
3960.14,467,67.04
4140.28,495,67.53
4320.15,542,67.77
4500.19,588,68.06
4680.15,630,68.53
4860.2,667,68.77
5400.51,735,69.06
5940.34,770,69.52
6480.46,823,69.83
7020.79,907,70.23
7560.43,963,70.58
